Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iceland,ISL,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.945999861,8.440000057,8.213999987,7.369000196,6.663999796,6.62100023,7.897000045,8.074999869,7.938999951,7.221999824,6.811999887,7.063000053,5.210000098,5.947000086,4.625000149,5.149999872,4.811999824,4.856999829,5.091999918,6.037999831,6.179000031,6.20499998,5.979000024,6.425000168,6.086999878,5.488000125,5.75199984,5.744000167,5.732999831
Iceland,ISL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.36399841,71.96800232,70.52100372,70.5059967,72.73100281,72.79299927,71.85700226,73.6780014,75.54599762,76.84899902,76.6309967,74.70899963,73.71499634,73.3010025,73.83799744,74.45400238,74.99299622,73.83000183,69.25099945,69.23600006,69.09100342,69.88999939,71.05699921,72.53399658,73.95400238,75.42299652,74.52600098,74.09700012,73.76200104
Iceland,ISL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.12000275,76.58200073,75.1289978,75.15100098,77.97489929,78.23639679,77.07900238,78.82409668,80.93650055,82.22319794,81.94519806,80.31539917,79.76159668,78.58550262,79.28099823,80.12989807,80.79340363,79.49469757,74.52420044,74.30259705,74.19069672,75.08580017,76.3463974,78.12110138,79.69000244,81.31109619,80.61090088,79.63079834,
Iceland,ISL,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.27899933,78.60500336,75.94799805,75.51699829,77.72000122,78.48500061,77.83399963,79.96099854,80.95200348,81.9469986,82.32499695,79.39700317,78.52100372,77.15599823,78.58999634,79.59700012,80.06099701,78.56199646,72.21399689,72.56500244,72.30200195,72.93900299,74.2539978,76.3730011,77.77899933,79.90899658,78.71299744,78.16100311,77.83000183
Iceland,ISL,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.36100006,82.47000122,79.84999847,79.44999695,82.29509735,83.26080322,82.54060364,84.51100159,85.68190002,86.6875,87.07479858,84.36229706,83.84480286,82.42900085,83.3015976,84.61849976,85.27809906,83.67320251,76.88980103,76.95529938,76.6957016,77.41210175,78.94180298,81.33200073,82.90339661,85.18910217,84.28540039,83.08979797,
Iceland,ISL,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47799683,65.36399841,65.12799835,65.53199768,67.78600311,67.15599823,65.94100189,67.46099854,70.1969986,71.8030014,70.99199677,70.06199646,68.94599915,69.47100067,69.11000061,69.3219986,69.91899872,69.07800293,66.26699829,65.87999725,65.85800171,66.82700348,67.85199738,68.69400024,70.13700104,70.94400024,70.34500122,70.03700256,69.6969986
Iceland,ISL,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.79100037,70.60600281,70.31300354,70.77100372,73.61209869,73.13289642,71.55539703,73.06929779,76.09069824,77.67359924,76.71209717,76.18340302,75.60980225,74.69490051,75.15879822,75.37480164,75.98429871,75.01889801,72.05950165,71.60939789,71.65100098,72.71230316,73.69850159,74.89230347,76.43890381,77.31770325,76.75409698,75.94090271,
Iceland,ISL,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.40999985,30.18000031,32.25999832,,38.11999893,30.04000092,33.97000122,33.06000137,36.95999908,38.34999847,37.13999939,39.09000015,38.20000076,37.86999893,38.24000168,39.50999832,34.75999832,32.95999908,43.04999924,
Iceland,ISL,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29199982,19.2840004,18.00900078,18.44599915,18.87599945,18.51300049,17.54199982,18.67900085,18.12199974,17.72400093,17.09000015,17.18899918,13.31700039,13.29500008,14.14999962,14.56000042,13.62699986,12.50500011,11.83300018,12.48900032,12.40400028,12.18799973,12.47299957,12.60499954,12.43700027,12.05900002,11.79199982,11.78100014,11.77000046
Iceland,ISL,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05599976,25.55699921,24.28100014,25.51199913,26.33099937,25.28100014,22.6590004,24.79199982,24.03700066,23.38199997,23.4640007,24.05599976,18.60000038,17.58699989,20.11199951,20.62599945,18.89100075,17.09399986,16.5890007,16.25200081,16.05400085,15.57600021,16.33600044,16.83300018,16.84499931,16.00300026,15.50899982,15.5010004,15.48400021
