Magnitude,Longitude,Latitude,
4.5,-17.7399,64.6132, 7.19]
4.6,-17.587,64.5681, 8.7]
4.8,-17.7836,64.6504, 8.74]
4.3,-17.7133,64.5534, 7.83]
4.2,-17.5828,64.5321, 8.08]
5.4,-17.4654,64.5557, 7.4]
4.7,-17.6542,64.7093, 7.5]
4.5,-17.7573,64.6129, 7.98]
4.5,-17.8263,64.5935, 8.17]
4,-17.6835,64.5343, 7.48]
4.4,-17.6007,64.5374, 7.75]
4.6,-17.3271,64.6533, 8.14]
4.4,-17.6772,64.6177, 7.5]
4.5,-18.778,64.721, 10.45]
4.3,-17.5446,64.6189, 7.6]
4.5,-17.6853,64.5698, 8.21]
4.5,-17.7551,64.5946, 6.86]
4.4,-17.1806,64.4748, 9.82]
4.3,-17.8069,64.4427, 8]
5.2,-17.5343,64.5865, 8.01]
4.4,-17.7126,64.5284, 7.97]
4.5,-17.8232,64.5106, 7.02]
4.7,-17.3218,64.6189, 7.3]
4.5,-17.7044,64.4618, 10]
4.3,-17.6482,64.5272, 5.98]
4.3,-17.7856,64.569, 6.73]
4.5,-17.6162,64.5449, 7.65]
4.5,-17.7512,64.5455, 7.23]
4.4,-17.6301,64.5591, 10.96]
4.6,-17.6581,64.4491, 7.97]
4.5,-17.7716,64.6811, 8.2]
4.7,-17.7983,64.6157, 9.42]
4.6,-17.5314,64.5613, 8.07]
4.5,-17.5103,64.5805, 7.64]
4.7,-17.5898,64.5411, 7.79]
4.4,-17.7487,64.5152, 6.85]
4.4,-17.5477,64.4745, 7.88]
4.7,-17.6572,64.5535, 9.64]
4.4,-17.688,64.7115, 10]
4.7,-17.547,64.6475, 7.58]
4.4,-17.716,64.2024, 6.9]
4.1,-17.9496,64.328, 8.77]
4.2,-17.7032,64.618, 7.36]
5.4,-17.0651,64.5674, 10]
4.2,-17.6531,64.5536, 7.96]
4.4,-17.7552,64.5903, 8.04]
4.4,-17.6938,64.6013, 6.86]
4.3,-17.6826,64.6353, 6.98]
4.3,-17.6668,64.3816, 7.44]
4.4,-17.7241,64.6342, 7.66]
5,-17.777,64.621, 10.4]
4.6,-17.3611,64.5784, 7.7]
4.6,-17.6154,64.5639, 11.62]
4.4,-17.9631,64.4524, 7.78]
5.2,-17.2373,64.76, 5.37]
4.3,-17.6507,64.439, 10]
4.6,-17.6586,64.5198, 8.99]
4.6,-17.5801,64.6106, 10]
4.5,-17.3121,64.5652, 8.71]
4.3,-17.8178,64.5099, 8.09]
4.6,-17.4682,64.62, 10]
4.7,-17.5976,64.5663, 10]
4.5,-17.1822,64.7014, 8.02]
4.6,-17.653,64.4737, 6.01]
4.4,-17.4382,64.4807, 8.34]
4.4,-17.6013,64.5236, 4.53]
4.7,-17.5504,64.6061, 8.22]
4.8,-17.5952,64.5699, 7.9]
4.3,-17.7199,64.5387, 8.46]
4.6,-17.7758,64.5531, 10]
4.1,-17.6536,64.6267, 10]
4.8,-17.8011,64.5097, 9.5]
4.3,-17.7714,64.4137, 8.33]
5.3,-17.324,64.5311, 8.01]
4.1,-17.9895,64.4639, 5]
4.6,-17.5814,64.6516, 8.88]
4.6,-17.2409,64.6949, 7.76]
4.6,-17.4497,64.6077, 10.88]
4.3,-17.736,64.4771, 8.1]
5,-17.6238,64.4457, 7.11]
4.2,-17.809,64.4885, 8.1]
4.8,-17.2531,64.6567, 9.34]
4.6,-17.4908,64.6004, 6.82]
4.6,-17.4298,64.6808, 7.71]
4.5,-17.6296,64.5792, 10]
4.5,-17.5571,64.6094, 10]
4.6,-17.4836,64.5605, 10]
4.6,-17.5417,64.6505, 7.53]
4.5,-17.6281,64.4935, 7.84]
4.6,-17.5611,64.6173, 7.76]
4.7,-17.3935,64.6358, 9.33]
4.7,-17.7306,64.5398, 10]
4.5,-17.7532,64.7254, 7.93]
4.6,-17.8833,64.5596, 6.92]
5.2,-17.1099,64.5169, 10]
4.6,-17.4419,64.6136, 7.78]
4.5,-17.6962,64.5859, 7.66]
4.6,-17.2396,64.5882, 7.61]
4.6,-17.4693,64.6106, 8]
4.6,-17.5866,64.6648, 10]
4.3,-17.4201,64.5753, 10]
4.6,-17.4443,64.5855, 8.45]
